transaction_id,customer_id,transaction_amount_inr,merchant_category,merchant_id,transaction_datetime,transaction_hour,day_of_week,customer_age,customer_gender,customer_income_monthly_inr,customer_tenure_months,avg_transaction_amount_inr,transaction_count_30d,transaction_city,transaction_state,distance_from_home_km,card_type,device_type,channel,international_transaction,failed_attempts_24h,previous_fraud_count,account_age_months,amount_to_customer_avg_ratio,is_fraud
TXN10000000,CUST101417,4227.9,Online Shopping,MER1514,3/30/2026 2:09,2,Monday,57,Male,57049,20,10998.83,14,Hyderabad,Telangana,4.03,Visa,iOS,Online,0,0,0,58,0.384,0
TXN10000001,CUST101549,1203.07,Fuel,MER3668,2/6/2026 14:05,14,Friday,47,Male,65071,45,2461.08,8,Lucknow,Uttar Pradesh,15.34,Amex,Android,Online,0,0,0,53,0.489,0
TXN10000002,CUST100406,4341.84,Clothing,MER4917,1/6/2026 15:41,15,Tuesday,48,Male,84283,92,2236.61,8,Hyderabad,Telangana,15.51,Amex,Android,POS,0,1,0,131,1.94,0
TXN10000003,CUST101885,437.63,Online Shopping,MER3195,6/18/2026 12:37,12,Thursday,27,Female,76841,72,512.88,16,Jaipur,Rajasthan,6.56,RuPay,Android,POS,0,0,0,111,0.852,0
TXN10000004,CUST100051,6226.59,Electronics,MER3213,6/5/2026 22:28,22,Friday,39,Male,33979,49,4473.79,14,Jaipur,Rajasthan,11.74,Mastercard,Android,Online,0,0,0,126,1.391,0
TXN10000005,CUST101309,5180.02,Utilities,MER2430,4/27/2026 19:10,19,Monday,30,Female,76709,37,5016.09,13,Indore,Madhya Pradesh,8.64,Mastercard,ATM,ATM,0,0,0,156,1.032,0
TXN10000006,CUST101151,3739.87,Restaurant,MER3176,3/24/2026 22:11,22,Tuesday,20,Female,39518,84,2598.21,9,Jaipur,Rajasthan,8.34,RuPay,Android,POS,0,1,0,122,1.439,0
TXN10000007,CUST101088,10992.39,Grocery,MER4049,3/9/2026 15:10,15,Monday,51,Female,136506,112,3836.53,12,Kochi,Kerala,12.74,Mastercard,Web,Online,0,0,0,164,2.864,0
TXN10000008,CUST100358,10865.65,Online Shopping,MER4766,5/8/2026 19:53,19,Friday,60,Male,33067,27,13349.2,11,Jaipur,Rajasthan,4.52,Visa,Android,POS,0,0,0,174,0.814,0
TXN10000009,CUST100206,1490.27,Grocery,MER4954,4/22/2026 21:13,21,Wednesday,34,Male,49418,50,2435.92,14,Ahmedabad,Gujarat,4.54,RuPay,iOS,Online,0,0,0,13,0.612,0
TXN10000010,CUST100027,1250.88,Electronics,MER4632,6/12/2026 3:48,3,Friday,32,Male,23883,150,1549.91,14,Bengaluru,Karnataka,8.09,Visa,Android,Online,0,0,0,54,0.807,0
TXN10000011,CUST101987,1137.41,Electronics,MER2951,5/19/2026 8:00,8,Tuesday,60,Male,51714,63,3288.07,13,Indore,Madhya Pradesh,1.15,Visa,iOS,Online,0,1,0,56,0.346,0
TXN10000012,CUST100493,909.72,Restaurant,MER2334,1/10/2026 18:40,18,Saturday,59,Male,91534,172,970.01,7,Kochi,Kerala,16,Mastercard,Android,Online,0,0,0,44,0.937,0
TXN10000013,CUST100964,1984.11,Restaurant,MER3791,1/15/2026 12:29,12,Thursday,56,Male,140982,138,2917.38,18,Pune,Maharashtra,11.82,Mastercard,ATM,Mobile App,0,0,0,165,0.68,0
TXN10000014,CUST100251,3313,Fuel,MER2755,4/4/2026 21:26,21,Saturday,42,Male,24834,126,1553.66,18,Indore,Madhya Pradesh,2.84,RuPay,iOS,Online,0,0,0,98,2.131,0
TXN10000015,CUST101461,7327.83,Utilities,MER1453,6/24/2026 19:57,19,Wednesday,40,Male,58035,108,5484.18,13,Jaipur,Rajasthan,8.74,RuPay,iOS,Mobile App,0,0,0,125,1.336,0
TXN10000016,CUST101071,748.83,Fuel,MER4773,5/15/2026 13:06,13,Friday,38,Male,60888,44,758.79,13,Bengaluru,Karnataka,8.85,Amex,Web,ATM,0,1,0,50,0.986,0
TXN10000017,CUST100192,1031.59,Travel,MER4484,5/23/2026 16:34,16,Saturday,19,Male,49094,167,2826.53,8,Bengaluru,Karnataka,5.11,RuPay,ATM,Online,0,0,0,146,0.365,0
TXN10000018,CUST100255,4217.98,Electronics,MER4789,1/26/2026 19:51,19,Monday,42,Male,71640,137,3526.31,14,Kochi,Kerala,5.06,Mastercard,Web,POS,0,0,0,147,1.196,0
TXN10000019,CUST101450,685.49,Education,MER4691,4/18/2026 20:37,20,Saturday,42,Female,38039,161,828.69,11,Ahmedabad,Gujarat,12.06,Visa,Android,POS,0,0,0,66,0.826,0
TXN10000020,CUST101459,4132.62,Utilities,MER2413,2/7/2026 7:35,7,Saturday,18,Female,24379,42,2960.45,14,Kochi,Kerala,4.18,Visa,iOS,Online,0,0,0,87,1.395,0
TXN10000021,CUST100998,12134.32,Clothing,MER2152,2/26/2026 9:15,9,Thursday,39,Female,35685,145,4001.39,13,Kolkata,West Bengal,11.02,Visa,iOS,POS,1,0,0,83,3.032,0
TXN10000022,CUST100939,3262.59,Utilities,MER3899,5/31/2026 15:43,15,Sunday,23,Male,99131,23,3201.98,10,Delhi,Delhi,7.67,RuPay,Android,POS,0,0,0,72,1.019,0
TXN10000023,CUST101282,1592.93,Travel,MER4567,1/19/2026 21:50,21,Monday,47,Male,39765,59,1881.93,13,Chennai,Tamil Nadu,8.92,Visa,ATM,Mobile App,0,2,0,135,0.846,0
TXN10000024,CUST101387,3244.77,Online Shopping,MER2047,4/21/2026 21:23,21,Tuesday,38,Male,91785,161,2737.7,13,Lucknow,Uttar Pradesh,9.33,Mastercard,Android,Online,0,0,0,12,1.185,0
TXN10000025,CUST100581,1072.4,Restaurant,MER3041,3/3/2026 11:02,11,Tuesday,45,Female,71688,124,1085.82,14,Kochi,Kerala,10.2,RuPay,Android,POS,1,0,0,10,0.987,0
TXN10000026,CUST101438,749.86,Grocery,MER2299,4/8/2026 8:21,8,Wednesday,22,Male,12000,35,1281.28,15,Ahmedabad,Gujarat,3.11,Amex,iOS,Mobile App,0,0,0,83,0.585,0
TXN10000027,CUST100330,5979.18,Online Shopping,MER3447,6/28/2026 20:43,20,Sunday,28,Female,30398,4,2295.67,15,Kochi,Kerala,6.07,Mastercard,Android,Online,0,0,0,140,2.603,0
TXN10000028,CUST101303,1059.89,Grocery,MER2892,4/22/2026 12:03,12,Wednesday,26,Male,60874,22,1981.36,20,Hyderabad,Telangana,19.67,Mastercard,Web,POS,0,0,0,89,0.535,0
TXN10000029,CUST101246,5031.01,Restaurant,MER3122,2/10/2026 17:14,17,Tuesday,23,Male,63470,126,5486.59,13,Delhi,Delhi,13.06,Visa,iOS,POS,0,0,0,7,0.917,0
TXN10000030,CUST101359,8070.44,Fuel,MER4256,2/2/2026 21:19,21,Monday,33,Female,106493,94,4729.71,6,Pune,Maharashtra,5.41,Mastercard,iOS,Mobile App,0,0,0,30,1.706,0
TXN10000031,CUST101876,2687.07,Travel,MER3740,5/2/2026 9:21,9,Saturday,28,Male,61445,17,2661.39,14,Lucknow,Uttar Pradesh,9.21,Visa,ATM,POS,0,0,0,47,1.009,0
TXN10000032,CUST101845,1544.79,Grocery,MER1605,6/23/2026 21:15,21,Tuesday,68,Male,117282,48,2908.15,19,Jaipur,Rajasthan,1.13,Mastercard,Web,Online,0,0,0,123,0.531,0
TXN10000033,CUST100632,3361.54,Grocery,MER1791,3/10/2026 21:03,21,Tuesday,59,Male,38236,177,5274.84,12,Lucknow,Uttar Pradesh,4.63,Mastercard,Web,POS,1,0,0,133,0.637,0
TXN10000034,CUST101709,818.31,Grocery,MER2676,1/25/2026 15:53,15,Sunday,52,Male,53157,16,1954.41,12,Delhi,Delhi,6.75,Visa,Android,POS,0,0,0,69,0.418,0
TXN10000035,CUST101722,1538.29,Electronics,MER3298,6/19/2026 11:54,11,Friday,50,Male,72746,43,2236.31,15,Chennai,Tamil Nadu,10.65,Visa,Android,POS,0,0,0,82,0.688,0
TXN10000036,CUST101648,3139.88,Online Shopping,MER4651,4/26/2026 9:24,9,Sunday,25,Female,56957,156,1923.12,9,Hyderabad,Telangana,3.58,Visa,Android,Mobile App,0,0,0,36,1.632,0
TXN10000037,CUST100347,935.1,Utilities,MER3438,5/9/2026 9:23,9,Saturday,44,Male,69203,178,693.67,11,Kolkata,West Bengal,17.94,Visa,iOS,POS,0,1,0,15,1.346,0
TXN10000038,CUST101004,2947.76,Healthcare,MER3188,3/1/2026 20:57,20,Sunday,36,Male,28585,85,2347.21,16,Chennai,Tamil Nadu,13.68,Visa,ATM,Mobile App,0,1,0,106,1.255,0
TXN10000039,CUST101239,1285.82,Online Shopping,MER4802,1/30/2026 21:24,21,Friday,47,Female,54358,150,1920.28,19,Indore,Madhya Pradesh,4.18,RuPay,iOS,POS,0,1,0,148,0.669,0
TXN10000040,CUST100304,291.12,Grocery,MER1559,5/31/2026 13:48,13,Sunday,46,Male,51725,105,716.5,12,Lucknow,Uttar Pradesh,5.14,Mastercard,Android,Online,0,1,0,131,0.406,0
TXN10000041,CUST101873,4928.42,Restaurant,MER4312,6/3/2026 10:17,10,Wednesday,26,Other,63308,128,3516.13,16,Chennai,Tamil Nadu,15.79,Visa,Web,ATM,0,0,0,67,1.401,0
TXN10000042,CUST100528,3893.67,Utilities,MER1694,2/28/2026 8:39,8,Saturday,36,Female,32771,24,2996.68,13,Pune,Maharashtra,5.83,Visa,iOS,POS,0,0,0,34,1.299,0
TXN10000043,CUST101521,1684.08,Restaurant,MER2939,1/28/2026 19:02,19,Wednesday,52,Female,103474,175,1875.05,19,Jaipur,Rajasthan,3.38,Mastercard,Web,ATM,0,0,0,20,0.898,0
TXN10000044,CUST100977,4176,Utilities,MER1850,6/14/2026 19:10,19,Sunday,44,Male,66269,169,2476.24,10,Indore,Madhya Pradesh,8.79,Visa,Android,Online,0,0,0,175,1.686,0
TXN10000045,CUST101836,3042.56,Online Shopping,MER2734,1/31/2026 2:07,2,Saturday,38,Female,31320,103,3800.24,16,Chennai,Tamil Nadu,3.92,Mastercard,Android,POS,0,0,0,154,0.8,0
TXN10000046,CUST101037,6076.51,Healthcare,MER4347,5/12/2026 20:25,20,Tuesday,42,Male,80854,93,2617.49,19,Kolkata,West Bengal,9.89,Mastercard,iOS,POS,0,0,0,87,2.321,0
TXN10000047,CUST101139,384.9,Fuel,MER2925,6/2/2026 9:45,9,Tuesday,22,Female,51767,107,1158.85,6,Hyderabad,Telangana,7.6,Amex,iOS,Online,0,0,0,37,0.332,0
TXN10000048,CUST101675,12840.72,Fuel,MER2027,2/19/2026 9:54,9,Thursday,30,Male,76081,88,4800.9,13,Jaipur,Rajasthan,9.04,Visa,ATM,Online,0,0,0,133,2.674,0
TXN10000049,CUST101976,1185.83,Fuel,MER3831,4/21/2026 7:27,7,Tuesday,46,Male,82458,177,1995.62,20,Kolkata,West Bengal,2.67,Amex,ATM,Online,0,0,0,150,0.594,0
TXN10000050,CUST100941,473.25,Healthcare,MER2976,5/12/2026 0:46,0,Tuesday,58,Female,31615,13,1828.64,14,Mumbai,Maharashtra,9.5,Visa,Android,Online,0,0,0,114,0.259,0
TXN10000051,CUST101253,4311.65,Utilities,MER1592,4/8/2026 11:34,11,Wednesday,25,Female,43313,175,5079.28,5,Kochi,Kerala,5.54,Mastercard,Web,Online,0,0,0,21,0.849,0
TXN10000052,CUST100553,1658.74,Clothing,MER2308,5/8/2026 11:19,11,Friday,42,Female,33191,65,1635.21,14,Kochi,Kerala,4.86,RuPay,ATM,POS,0,0,0,80,1.014,0
TXN10000053,CUST101397,1720.42,Utilities,MER4497,4/28/2026 10:15,10,Tuesday,18,Male,100821,7,2553.8,17,Chennai,Tamil Nadu,7.3,Mastercard,Web,POS,0,0,0,50,0.673,0
TXN10000054,CUST100870,5424.56,Utilities,MER3514,1/6/2026 16:33,16,Tuesday,44,Female,58138,53,1738.29,18,Hyderabad,Telangana,12.45,Visa,Android,POS,0,0,0,15,3.119,0
TXN10000055,CUST100998,402.6,Grocery,MER4296,4/19/2026 12:13,12,Sunday,36,Male,68120,7,785.7,10,Kochi,Kerala,13.6,Visa,iOS,Mobile App,0,0,0,157,0.512,0
